Data;Entrega;Número da Compra;Fornecedor;Comprador;Situação Compra;Códigos;Produto;Entregue;Entregar;Quantidade Compra;Preço Custo;Preço Venda;Valor Compra
24/04/2025;24/04/2025;26;A & F COMERCIO DE PLASTICOS LTDA;Silvia Batista;Finalizado;1532002086585710;"FITA CA 30 PRETA( 50MTS)
PCT COMERCIO DE TAPECARIA EIRELI ( Fernanda Tapeçaria)";1;0;1;39;;39
24/04/2025;24/04/2025;26;A & F COMERCIO DE PLASTICOS LTDA;Silvia Batista;Finalizado;2532003523794480;"NYLON ACOPLADO
A & F COMERCIO DE PLASTICOS LTDA";10;0;10;12;;115
24/04/2025;24/04/2025;26;A & F COMERCIO DE PLASTICOS LTDA;Silvia Batista;Finalizado;2642003595556260;"PLÁSTICO CRISTAL 030
A & F COMERCIO DE PLASTICOS LTDA";10;0;10;22;;170
24/04/2025;24/04/2025;26;A & F COMERCIO DE PLASTICOS LTDA;Silvia Batista;Finalizado;1462004078863040;"FITA CA 50 PRETA (50MTS)
PCT COMERCIO DE TAPECARIA EIRELI ( Fernanda Tapeçaria)";2;0;2;59;;117
17/04/2025;17/04/2025;20;A & F COMERCIO DE PLASTICOS LTDA;Silvia Batista;Finalizado;2542008220091370;"FIBRA SILICONADA ENCHIMENTO
A & F COMERCIO DE PLASTICOS LTDA";1;0;1;25;;25
15/04/2025;15/04/2025;24;PONTUAL COMERCIO DE EMBALAGENS LTDA;Silvia Batista;Finalizado;1642006210719270;"PAPEL A4 75G 210X297MM CHAMEX RESMA 500FLS
PONTUAL COMERCIO DE EMBALAGENS LTDA";1;0;1;30;;30
15/04/2025;15/04/2025;24;PONTUAL COMERCIO DE EMBALAGENS LTDA;Silvia Batista;Finalizado;1332003772544760;"FITA ADESIVA PVC 48MMX100M TRASPARENTE KORETECH
PONTUAL COMERCIO DE EMBALAGENS LTDA";1;0;1;41;;41
15/04/2025;15/04/2025;24;PONTUAL COMERCIO DE EMBALAGENS LTDA;Silvia Batista;Finalizado;2572003204825100;"BALA MASTIGÁVEL
PONTUAL COMERCIO DE EMBALAGENS LTDA";1;0;1;10;;10
15/04/2025;15/04/2025;24;PONTUAL COMERCIO DE EMBALAGENS LTDA;Silvia Batista;Finalizado;2592001495530800;"SACO ADESIVADO
PONTUAL COMERCIO DE EMBALAGENS LTDA";2;0;2;6;;12
15/04/2025;15/04/2025;24;PONTUAL COMERCIO DE EMBALAGENS LTDA;Silvia Batista;Finalizado;2582004777979370;CAIXA DE PAPELÃO CORREIOS GG N4 38X32X12CM;20;0;20;7;;148
