Status;Código;Nome ou Razão Social;Municipio;Estado;Telefones;E-mail;CNPJ / CPF
ativo;22796201;A & F COMERCIO DE PLASTICOS LTDA;BRASILIA;DF;6133522447;;9217556000109
ativo;14;ARMARINHO MODELO LTDA;BRASILIA;DF;(61) 3541-500;;1508096000166
ativo;17;ARMARINHOS NOVIDADES LTDA;BRASILIA;DF;61 3354-2355;;722942000183
ativo;18;BMS COMERCIO DE TECIDOS LTDA;BRASILIA;DF;61-3222-2674;;16513297000129
ativo;20;BROADWAY REVESTIMENTOS;BRASILIA;DF;61 3354-7640;;
ativo;19;CASA DE COUROS SATELITE LTDA;BRASILIA;DF;61-3354-1804;;36773745000130
ativo;6;COMERCIAL DE PLASTICOS LR EIRELI;GOIANIA;GO;(62) 3942-1410/ (62) 3093-8812 / (62) 3291-9299;wrrcontabil01@hotmail.com;9066780000147
ativo;22796200;CORREA DISTRIBUIDORA DE PLASTICOS LTDA;BRASILIA;DF;6239424472;processos3@somacontabilidades.com.br;24903060000263
ativo;11;Couraça Couros;BRASILIA;DF;;;
ativo;22796619;COYOTE COUROS E METAIS;;;;;
ativo;22796620;EDER LUCIO FIDELIS DOS SANTOS LTDA;GOIANIA;GO;(62) 8579-4233;ederlucio_2010@hotmail.com;43697746000109
ativo;16;EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS;BRASILIA;DF;(61) 3535-8900;se-bsb@correios.com.br;34028316000707
ativo;13;LEROY MERLIN COMPANHIA BRASILEIRA DE BRICOLAGEM;BRASILIA;DF;(11) 5670-8600;fiscal@leroymerlin.com.br;1438784002574
ativo;22796197;MADEIREIRA CARAIBA COMERCIO DE MADEIRAS LTDA;BRASILIA;DF;6139732222;contato@tsxcontabilidade.com.br;47950372000142
ativo;10;MADEIREIRA PRIMER EIRELI ( Tozetti);BRASILIA;DF;(77) 3611-1774 /(61) 3354-1515;gecon@gecontabil.com.br;38821946000191
ativo;22796013;MALHARIA IPANEMA LTDA;BRASILIA;DF;61 37018800;financeiro@malhariaipanema.com.br;72651508000160
ativo;3;NEOPRENE BRASIL LTDA;;;061-9176-9717;amanda@haddadrepresentacoes.com;668752000125
ativo;9;PCT COMERCIO DE TAPECARIA EIRELI ( Fernanda Tapeçaria);BRASILIA;DF;(62) 3037-3151 /(61) 3965-6009;rosangelaadm@fernandacouros.com.br;8578646000162
ativo;12;PONTO DA ETIQUETA LTDA;GOIANIA;GO;(62) 3291-2333;;5424693000163
ativo;5;PONTUAL COMERCIO DE EMBALAGENS LTDA;BRASILIA;DF;61-3581-2324;marcelo@embalagenspontual.com;33203691000180
ativo;8;RODO DANNY TRANSPORTES E LOGISTICA EIRELI;GUARULHOS;SP;(11) 2446-3271 / (11) 2412-1758;arbrent@terra.com.br;11389565000200
ativo;15;RODO DANNY TRANSPORTES E LOGISTICA EIRELI;BRASILIA;DF;61 3385-1222;contasapagar.serrana@gmail.com;11389565000129
ativo;4;RODONAVES TRANSPORTES E ENCOMENDAS LTDA;BRASILIA;DF;61 21039200;rte094@rte.com.br;44914992002009
ativo;22797999;Rodonaves Transportes e Encomendas Ltda em Brasília;BRASILIA;DF;;;4491499200200
ativo;7;TAGS INDUSTRIA COMERCIO E REPRESENTACOES LTDA;NATAL;RN;(84) 2114-660/ (84) 3211-4660;;1430890000134
